numParticles 49189
5.107533 -1.494318 -0.439142
4.782721 -1.699884 -1.265557
5.072261 -1.592813 -0.742932
5.656123 -1.510064 -0.230169
5.732006 -1.677197 -0.136113
5.007971 -1.536245 -0.892167
4.457943 -1.803221 -0.406428
5.147399 -1.441969 -0.316409
4.779685 -1.682012 -0.480628
4.509279 -1.794970 -0.140838
4.901090 -1.611818 -0.705955
5.216287 -1.506856 -0.911888
5.189917 -1.518157 -0.698498
5.156339 -1.541173 -1.176861
5.153756 -1.525327 -1.058386
5.612237 -1.596767 -0.503200
5.254317 -1.459346 -0.427102
5.072728 -1.487621 -0.840030
5.289304 -1.522459 -0.130903
5.252555 -1.769956 -0.620406
4.976454 -1.559562 -0.704498
5.041729 -1.602474 -0.636787
5.145928 -1.560917 -0.130591
4.858008 -1.641131 -1.154683
5.081802 -1.485888 -1.277521
5.440047 -1.484815 -0.369764
5.101034 -1.584591 -0.982075
4.947072 -1.694660 -0.974912
5.695620 -1.593916 -0.231431
4.999629 -1.683559 -0.692779
5.192566 -1.470702 -0.586289
5.199135 -1.581633 -0.985086
5.019057 -1.528745 -0.558949
5.138865 -1.564600 -0.901244
5.166295 -1.596806 -0.751383
5.081567 -1.596550 -0.839097
5.132154 -1.571210 -0.557949
5.222466 -1.487108 -1.127292
5.669461 -1.573889 -0.321235
5.287112 -1.442958 -1.185927
4.929721 -1.687712 -1.087556
5.271137 -1.474706 -0.638706
5.052084 -1.614954 -0.523537
5.212317 -1.486479 -0.133640
5.083284 -1.475908 -1.083919
5.156354 -1.509773 -0.797067
5.430036 -1.482082 -0.458857
4.983807 -1.656553 -0.778886
5.543506 -1.512299 -0.132795
5.097785 -1.593593 -1.087881
5.241240 -1.489557 -0.511939
5.129076 -1.674665 -1.029941
5.671154 -1.785755 -0.576524
5.361868 -1.503051 -1.111737
5.537447 -1.584914 -0.423588
5.249156 -1.483275 -0.817732
5.235818 -1.677139 -0.533946
5.214431 -1.591253 -1.088348
5.246471 -1.485197 -0.327748
4.979239 -1.579803 -0.412767
5.634447 -1.504249 -0.132042
5.332488 -1.544293 -0.866518
5.339235 -1.490767 -0.456659
4.632030 -1.800027 -0.426810
5.476757 -1.530142 -0.231581
5.095918 -1.789415 -0.529863
4.718496 -1.760265 -0.489352
5.529729 -1.504231 -0.331821
5.327761 -1.655675 -0.538143
5.556813 -1.494033 -0.235945
5.074126 -1.484637 -0.348190
5.255329 -1.582672 -0.519039
5.385450 -1.449347 -0.133371
4.869753 -1.515220 -0.243694
4.566409 -1.720408 -0.257916
5.631961 -1.567496 -0.419035
5.520566 -1.784306 -0.683151
4.977086 -1.687747 -0.532243
4.625193 -1.688898 -1.118896
